Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan","AFG","Core Public Administration workers, as a share of public formal employees","BI.EMP.FRML.CA.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Core Public Administration workers, as a share of public paid employees","BI.EMP.PWRK.CA.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Core Public Administration workers, as a share of public total employees","BI.EMP.TOTL.CA.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Government economist (using mean)","BI.PWK.CMPA.GE.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Government economist (using median)","BI.PWK.CMPA.GE.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using mean)","BI.PWK.CMPA.HD.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using median)","BI.PWK.CMPA.HD.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using mean)","BI.PWK.CMPA.HN.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using median)","BI.PWK.CMPA.HN.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Judge (using mean)","BI.PWK.CMPA.JU.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Judge (using median)","BI.PWK.CMPA.JU.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Police officer (using mean)","BI.PWK.CMPA.PO.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Police officer (using median)","BI.PWK.CMPA.PO.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using mean)","BI.PWK.CMPA.PT.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Primary school teacher (using median)","BI.PWK.CMPA.PT.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using mean)","BI.PWK.CMPA.ST.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Secondary school teacher (using median)","BI.PWK.CMPA.ST.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Senior official (using mean)","BI.PWK.CMPA.SN.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: Senior official (using median)","BI.PWK.CMPA.SN.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: University teacher (using mean)","BI.PWK.CMPA.UT.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Cross-country public sector pay comparison ratio, by occupation: University teacher (using median)","BI.PWK.CMPA.UT.MD",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Education workers, as a share of public formal employees","BI.EMP.FRML.ED.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Education workers, as a share of public paid employees","BI.EMP.PWRK.ED.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Education workers, as a share of public total employees","BI.EMP.TOTL.ED.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Female to male wage ratio in the private sector (using mean)","BI.WAG.PRVS.FM.SM",,,,,,,,"1.11029934883118",,,,,,"0.649133205413818",,,,,,,,,
"Afghanistan","AFG","Female to male wage ratio in the private sector (using median)","BI.WAG.PRVS.FM.MD",,,,,,,,"0.533333361148834",,,,,,"0.433333337306976",,,,,,,,,
